epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,122.757,1.95797,4.23082,0.01281,0.68361,0.49211,0.50001,0.27528,1.53284,3.25213,0.01175,0.00041534,0.00041534,0.00041534
2,225.013,1.71988,2.27405,0.01064,0.65302,0.58158,0.64036,0.37001,1.54928,1.75496,0.01166,0.000815533,0.000815533,0.000815533
3,326.328,1.70926,1.65351,0.01062,0.84931,0.61897,0.69414,0.39132,1.59598,1.37429,0.01237,0.00119923,0.00119923,0.00119923
4,428.875,1.69989,1.46489,0.01052,0.74494,0.65895,0.71483,0.4124,1.55471,1.23731,0.01189,0.00117575,0.00117575,0.00117575
5,530.205,1.66776,1.37471,0.01034,0.86839,0.65036,0.72755,0.41972,1.53317,1.16278,0.01165,0.001151,0.001151,0.001151
6,635.209,1.65946,1.30535,0.01027,0.76531,0.72478,0.75419,0.43833,1.5402,1.02308,0.01174,0.00112625,0.00112625,0.00112625
7,739.216,1.62284,1.24111,0.01008,0.74017,0.74397,0.7685,0.44959,1.49178,0.99747,0.01148,0.0011015,0.0011015,0.0011015
8,842.123,1.62333,1.23046,0.01001,0.75369,0.71137,0.75749,0.44802,1.47481,1.03043,0.01124,0.00107675,0.00107675,0.00107675
9,946.225,1.593,1.2009,0.00983,0.85003,0.70275,0.76766,0.47076,1.43327,0.96546,0.01095,0.001052,0.001052,0.001052
10,1050.07,1.58614,1.15325,0.00972,0.76181,0.74268,0.77943,0.47355,1.45105,0.93236,0.01099,0.00102725,0.00102725,0.00102725
11,1154.4,1.57241,1.14307,0.00966,0.75566,0.76279,0.7814,0.46616,1.48494,0.92393,0.01139,0.0010025,0.0010025,0.0010025
12,1259.69,1.55708,1.1112,0.00958,0.76217,0.77388,0.79268,0.48307,1.43286,0.88337,0.01081,0.00097775,0.00097775,0.00097775
13,1362.09,1.54471,1.10203,0.00942,0.77958,0.779,0.79738,0.48949,1.4183,0.87963,0.01072,0.000953,0.000953,0.000953
14,1466.47,1.52973,1.07986,0.00942,0.78338,0.75447,0.78955,0.48487,1.41843,0.90907,0.01067,0.00092825,0.00092825,0.00092825
15,1569.85,1.52628,1.05353,0.00924,0.7642,0.78175,0.79424,0.48752,1.41663,0.84801,0.01074,0.0009035,0.0009035,0.0009035
16,1674.18,1.51691,1.0351,0.00921,0.7425,0.7782,0.79666,0.49811,1.40314,0.85323,0.01054,0.00087875,0.00087875,0.00087875
17,1780.68,1.49516,1.0263,0.00914,0.76849,0.78479,0.79881,0.49755,1.39107,0.82199,0.01057,0.000854,0.000854,0.000854
18,1888.72,1.49071,1.02628,0.00901,0.75368,0.79184,0.80097,0.49854,1.38017,0.83468,0.0104,0.00082925,0.00082925,0.00082925
19,1995.37,1.48161,1.00294,0.00899,0.75663,0.78737,0.79829,0.50465,1.37025,0.82481,0.01046,0.0008045,0.0008045,0.0008045
20,2100.87,1.47607,0.99593,0.00891,0.77105,0.79781,0.81041,0.50686,1.38181,0.80286,0.01043,0.00077975,0.00077975,0.00077975
21,2205.24,1.4641,0.97154,0.00876,0.80039,0.79389,0.81726,0.51128,1.37661,0.79536,0.01039,0.000755,0.000755,0.000755
22,2310.77,1.45626,0.95941,0.00869,0.78035,0.80443,0.81375,0.51388,1.35861,0.769,0.01017,0.00073025,0.00073025,0.00073025
23,2415.65,1.45333,0.94629,0.00878,0.79664,0.79818,0.81615,0.51954,1.34307,0.78045,0.01013,0.0007055,0.0007055,0.0007055
24,2518.73,1.43588,0.94595,0.00863,0.78234,0.80023,0.8105,0.51785,1.33549,0.76991,0.01008,0.00068075,0.00068075,0.00068075
25,2623.47,1.42809,0.93586,0.00859,0.80893,0.79774,0.81858,0.52554,1.32958,0.7704,0.00996,0.000656,0.000656,0.000656
26,2727.9,1.42399,0.93132,0.0085,0.7873,0.80797,0.82127,0.53144,1.31646,0.74068,0.00985,0.00063125,0.00063125,0.00063125
27,2830.29,1.41076,0.9124,0.00847,0.80107,0.81465,0.82522,0.53158,1.31031,0.73674,0.00981,0.0006065,0.0006065,0.0006065
28,2934.19,1.402,0.90546,0.00836,0.78615,0.80885,0.81779,0.52675,1.32722,0.74792,0.01004,0.00058175,0.00058175,0.00058175
29,3036.68,1.37999,0.8846,0.00814,0.80394,0.81022,0.8293,0.53504,1.32301,0.73351,0.00982,0.000557,0.000557,0.000557
30,3139.82,1.38209,0.8825,0.00826,0.79903,0.81039,0.83115,0.54393,1.28616,0.72334,0.00964,0.00053225,0.00053225,0.00053225
31,3245.86,1.3714,0.87108,0.00816,0.82225,0.81696,0.8333,0.54086,1.30464,0.71377,0.00973,0.0005075,0.0005075,0.0005075
32,3350.91,1.36388,0.86435,0.00811,0.817,0.81217,0.83501,0.55133,1.25674,0.71931,0.00932,0.00048275,0.00048275,0.00048275
33,3454.53,1.35393,0.85266,0.00802,0.80361,0.82219,0.83065,0.54864,1.27492,0.7188,0.00948,0.000458,0.000458,0.000458
34,3559.62,1.3333,0.85058,0.00793,0.81839,0.82662,0.84024,0.54733,1.2764,0.68967,0.0095,0.00043325,0.00043325,0.00043325
35,3664.73,1.3309,0.85186,0.00777,0.82364,0.82029,0.8372,0.55266,1.27078,0.69773,0.00947,0.0004085,0.0004085,0.0004085
36,3774.02,1.32227,0.82708,0.0077,0.82063,0.82013,0.83677,0.55508,1.26222,0.69128,0.00934,0.00038375,0.00038375,0.00038375
37,3880.56,1.31536,0.80959,0.00766,0.8069,0.82387,0.83737,0.55361,1.26114,0.68849,0.00937,0.000359,0.000359,0.000359
38,3986.71,1.30369,0.81307,0.00765,0.82521,0.82839,0.84196,0.5585,1.253,0.6808,0.00929,0.00033425,0.00033425,0.00033425
39,4092.38,1.29066,0.80666,0.00756,0.80933,0.82043,0.83939,0.55581,1.25535,0.69849,0.00932,0.0003095,0.0003095,0.0003095
40,4198.62,1.29494,0.80304,0.00754,0.82598,0.82486,0.84258,0.56407,1.23734,0.67317,0.00916,0.00028475,0.00028475,0.00028475
41,4300.19,1.17259,0.66082,0.00864,0.82387,0.82979,0.84645,0.56625,1.23644,0.67667,0.00919,0.00026,0.00026,0.00026
42,4397.37,1.1533,0.65515,0.00843,0.82523,0.8306,0.84852,0.56608,1.23407,0.67866,0.00915,0.00023525,0.00023525,0.00023525
43,4494.13,1.14454,0.64383,0.00835,0.83334,0.82079,0.84931,0.57018,1.21642,0.67849,0.00896,0.0002105,0.0002105,0.0002105
44,4591.37,1.12988,0.62942,0.0082,0.82188,0.83293,0.84924,0.56822,1.23395,0.65987,0.00914,0.00018575,0.00018575,0.00018575
45,4688.16,1.12015,0.62479,0.00813,0.83863,0.8285,0.84985,0.5715,1.21625,0.65369,0.00901,0.000161,0.000161,0.000161
46,4784.78,1.10651,0.61551,0.00793,0.84148,0.83222,0.8532,0.57714,1.20939,0.64276,0.00893,0.00013625,0.00013625,0.00013625
47,4881.34,1.10007,0.6108,0.00797,0.84715,0.82628,0.85217,0.57608,1.20738,0.64569,0.00891,0.0001115,0.0001115,0.0001115
48,4978.16,1.09631,0.60638,0.00788,0.83613,0.83085,0.85119,0.57535,1.20841,0.64151,0.00889,8.675e-05,8.675e-05,8.675e-05
49,5075.71,1.0912,0.60173,0.00787,0.83553,0.83529,0.85389,0.57812,1.2114,0.63617,0.00892,6.2e-05,6.2e-05,6.2e-05
50,5173.49,1.08509,0.60431,0.00781,0.84244,0.83311,0.85379,0.57761,1.20673,0.63792,0.00888,3.725e-05,3.725e-05,3.725e-05
